id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
366;吸;3;キュウ、す-う;;kyuu;"inhale; imbibe, sip; suck, suck out";su(u);"inhale; imbibe, sip; suck, suck out"
367;朽;1;キュウ、く-ちる;;kyuu;"decay, rot; remain in seclusion";ku(chiru);"decay, rot; remain in seclusion"
368;臼;0;キュウ、うす;;kyuu;"mortar, hand mill";usu;"mortar, hand mill"
369;求;3;キュウ、もと-める;グ;kyuu;"want, wish for, request, demand; seek, search for; pursue (pleasure); hunt (a job); buy";moto(meru);"want, wish for, request, demand; seek, search for; pursue (pleasure); hunt (a job); buy"
370;究;4;キュウ、きわ-める;ク;kyuu;"investigate thoroly, master; carry to extremes";kiwa(meru);"investigate thoroly, master; carry to extremes"
371;泣;1;キュウ、な-く;;kyuu;"cry, weep, wail, moan";na(ku);"cry, weep, wail, moan"
372;急;4;キュウ、いそ-ぐ;;kyuu;"emergency; suddenness; danger; haste; steep";iso(gu);"hurry, hasten"
373;級;1;キュウ;しな;kyuu;"grade, class, rank; steps; decapitated head";-;-
374;糾;1;キュウ;ただ;kyuu;"ask, demand, question; investigate, ascertain, verify";-;-
375;宮;1;キュウ、グウ、[ク]、みや;;"kyuu, guu, [ku]";"constellations (of the zodiac); palace";miya;"Shinto shrine; Imperial Palace; prince, princess"
376;救;1;キュウ、すく-う;ク;kyuu;"save, help, rescue, relieve (suffering); redeem, reclaim";suku(u);"save, help, rescue, relieve (suffering); redeem, reclaim"
377;球;3;キュウ、たま;;kyuu;"globe, sphere, ball; bulb; (radio) tube";tama;"ball, bulb, bowl, sphere"
378;給;3;キュウ;たま;kyuu;"wage; gift; wage grade";-;-
379;嗅;0;キュウ、か-ぐ;;kyuu;"smell, sniff, scent";ka(gu);"smell, sniff, scent"
380;窮;1;キュウ、きわ-める、きわ-まる;;kyuu;"be destitute; suffer; be perplexed; be cornered";"kiwa(meru), kiwa(maru)";"investigate thoroly, carry to extremes, be in a dilemma"
381;牛;4;ギュウ、うし;ゴ;gyuu;"beef, cow";ushi;"cattle, cow, bull, ox"
382;去;4;キョ、コ、さ-る;;"kyo, 	ko";"leave, move away, quit; pass, elapse, be gone, be over; be distant from; remove, eliminate, get rid of; divorce";sa(ru);"leave, move away, quit; pass, elapse, be gone, be over; be distant from; remove, eliminate, get rid of; divorce"
383;巨;2;キョ;コ;kyo;"big, large, great";-;-
384;居;3;キョ、い-る;コ、ゴ、お;kyo;residence;i(ru);"be, exist; be found in, stay in; inhabit; live with, reside; be present; remain (sitting)"
385;拒;1;キョ、こば-む;;kyo;"refuse, reject, decline; repudiate; resist, oppose, prevent; deny";koba(mu);"refuse, reject, decline; repudiate; resist, oppose, prevent; deny"
386;拠;1;キョ、コ;よりどころ、よ;"kyo, 	ko";"be based on, follow";-;-
387;挙;1;キョ、あ-げる、あ-がる;コ;kyo;"plan, project; behavior; actions; step";"a(geru), a(garu)";"celebrate (a ceremony); join (hands in an effort); have (a child); arrest; become prosperous; be captured"
388;虚;1;キョ、[コ];むな;"kyo, [ko]";"emptiness; unpreparedness; crack, fissure; unguarded position; untruth";-;-
389;許;3;キョ、ゆる-す;コ、もと;kyo;"permit, approve; authorize; acknowledge; confide in; forgive, pardon; release, acquit; overlook ";yuru(su);"permit, approve; authorize; acknowledge; confide in; forgive, pardon; release, acquit; overlook "
390;距;1;キョ;;kyo;"be distant";-;-
391;魚;4;ギョ、うお、さかな;;gyo;fish;"uo, sakana";fish
392;御;3;ギョ、ゴ、おん;おさ、お、み;"gyo, 	go";"imperial honorary prefix; honorific prefix";on;"honorific prefixes"
393;漁;2;ギョ、リョウ;すなど、あさ;"gyo, 	ryoo";"fishing; fishery; catch, haul";-;-
394;凶;1;キョウ;;kyoo;"evil; bad luck; disaster; bad harvest";-;-
395;共;3;キョウ、とも;;kyoo;"both; neither (with neg.); all; and, as well as; including; with, together with; plural ending";tomo;"both; neither (with neg.); all; and, as well as; including; with, together with; plural ending"
396;叫;2;キョウ、さけ-ぶ;;kyoo;"shout, exclaim, cry, yell, roar, howl; cry for, clamor for, advocate";sake(bu);"shout, exclaim, cry, yell, roar, howl; cry for, clamor for, advocate"
397;狂;1;キョウ、くる-う、くる-おしい;;kyoo;lunatic;"kuru(u), kuru(oshii)";"go insane; lose one’s head; run amuck, rave; be madly in love; go haywire, break down; be upset; warp; fluctuate; miss the mark; (winds) howl"
398;京;4;キョウ、ケイ;キン;"kyoo, 	kei";"ten quadrillion; captital, metropolis; Kyoto";-;-
399;享;1;キョウ;;kyoo;"receive, take, get, obtain; accept; catch (a ball); stop (a blow), parry; answer (the phone); undergo (an operation); take (an exam); sustain (a loss); be exposed to (ridicule); face, front on; inherit; catch the public fancy";-;-
400;供;3;キョウ、[ク]、そな-える、とも;;"kyoo, [ku]";"offer, present, submit; serve (a meal); supply";"sona(eru), tomo";"offer, sacrifice, dedicte; attendant, companion, retinue"
401;協;2;キョウ;;kyoo;cooperation;-;-
402;況;2;キョウ;;kyoo;"still more, still less (neg.)";-;-
403;峡;1;キョウ;;kyoo;"gorge, ravine";-;-
404;挟;2;キョウ、はさ-む、はさ-まる;さしはさ;kyoo;"put between, hold between; insert, jam into; nip; interpose";"hasa(mu), hasa(maru)";"put between, hold between; insert, jam into; nip; interpose; get between, be caught in, be jammed in, be hemmed in, be sandwiched between, be pinned under, lie between"
405;狭;1;キョウ、せま-い、せば-める、せば-まる;さ;kyoo;"narrow, contract, reduce";"sema(i), saba(meru), seba(maru)";"narrow, contract, reduce; become narrow, contract; small (area), limited, tight"
406;恐;3;キョウ、おそ-れる、おそ-ろしい;;kyoo;"fear, dread, be afraid; be overawed; be apprehensive";"oso(reru), oso(roshii)";"fear, dread, be afraid; be overawed; be apprehensive; terrible, awful, fierce; tremendous, marvelous"
407;恭;1;キョウ、うやうや-しい;ク;kyoo;"respectful, reverent";uyauya(shii);"respectful, reverent"
408;胸;2;キョウ、むね、[むな];;kyoo;"chest, breast, bosom; heart, mind, feelings";"mune, [muna]";"chest, breast, bosom; heart, mind, feelings"
409;脅;1;キョウ、おびや-かす、おど-す、おど-かす;おび;kyoo;"threaten; coerce";"obiya(kasu), odo(su), odo(kasu)";"threaten; coerce"
410;強;4;キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる;こわ、ごわ;"kyoo, 	goo";"strength, might; strong person";"tsuyo(i), tsuyo(maru), tsuyo(meru), shi(iru)";"strong, powerful, mighty, robust, vigorous, healthy; brave, courageous; severe, intense; durable, solid; get strong; strengthen, intensify, invigorate; confirm; emphasize, increase, redouble; force, coerce, constrain, compel"
411;教;4;キョウ、おし-える、おそ-わる;し;kyoo;faith;"oshi(eru), oso(waru)";"teach, give lessons; inform; coach; learn, be taught, take lessons in"
412;郷;1;キョウ、ゴウ;さと;"kyoo, 	goo";"village, native place; country, district";-;-
413;境;2;キョウ、[ケイ]、さかい;;"kyoo, [kei]";"boundary; region; condition; stage";sakai;"boundary, border, frontier; place"
414;橋;2;キョウ、はし;;kyoo;bridge;hashi;bridge
415;矯;1;キョウ、た-める;;kyoo;"straighten; correct, reform, cure; control (one's feelings); pretend, falsify; aim";ta(meru);"straighten; correct, reform, cure; control (one's feelings); pretend, falsify; aim"
416;鏡;1;キョウ、かがみ;;kyoo;"mirror; speculum; barrelhead; round rice-cake offering";kagami;"mirror; speculum; barrelhead; round rice-cake offering"
417;競;2;キョウ、ケイ、きそ-う、せ-る;;"kyoo, 	kei";"emulate, compete with";"kiso(u), se(ru)";"emulate, compete with; compete, vie, bid; sell at auction"
418;響;1;キョウ、ひび-く;;kyoo;"sound, resound, reverberate, echo, ring, vibrate; grate on; affect, find an echo in; become known";hibi(ku);"sound, resound, reverberate, echo, ring, vibrate; grate on; affect, find an echo in; become known"
419;驚;1;キョウ、おどろ-く、おどろ-かす;;kyoo;"be surprised; be frightened, be taken aback; be appalled; be amazed";"odoro(ku), odoro(kasu)";"be surprised; be frightened, be taken aback; be appalled; be amazed; surprise; frighten; create a stir"
420;仰;1;ギョウ、[コウ]、あお-ぐ、おお-せ;;"gyoo, [koo]";"look up; look up to; ask for, depend on; seek; respect, revere; drink, take";"ao(gu), oo(se)";"look up; look up to; ask for, depend on; seek; respect, revere; drink, take; statement, command, wishes (of a superior)"
421;暁;1;ギョウ、あかつき;キョウ;gyoo;"dawn, daybrake; in the event (of)";akatsuki;"dawn, daybrake; in the event (of)"
422;業;4;ギョウ、ゴウ、わざ;;"gyoo, 	goo";"vocation, occupation, business, trade, profession; industry; undertaking; studies; arts; conduct, act; service; achievement";waza;"deed, act, work, art, trick, performance"
423;凝;1;ギョウ、こ-る、こ-らす;;gyoo;"freeze, congeal";"ko(ru), ko(rasu)";"feel stiff, get stiff; be absorbed in, be devoted to, be a fanatic; elaborate; concentrate, devote, apply, strain, rack"
424;曲;3;キョク、ま-がる、ま-げる;くせ;kyoku;"music, tone, melody, composition; fault";"ma(garu), ma(geru)";"bend, curve, swerve; be crooked; turn; be awry; be perverse; lean; decline; bow; distort; depart from (principles); pawn"
425;局;3;キョク;つぼね;kyoku;"bureau, board, office; central; post office; affair; duty; situation; conclusion";-;-
426;極;2;キョク、ゴク、きわ-める、きわ-まる、きわ-み;;"kyoku, 	goku";"end; highest rank; the poles; (electric) poles";"kiwa(meru), kiwa(maru), kiwa(mi)";"terminate; reach an extreme; be in a dilemma; investigate thoroughly, master; carry to extremes; height, acme, extremity"
427;玉;2;ギョク、たま;;gyoku;"gem, jewel, precious stone, jade";tama;"ball, bowl, sphere, bulb; lens; gem, jewel, bullet, shot, shell; billiards; tool, cat’s paw; pretty girl; person; margin (in stocks); testicles"
428;巾;0;キン;はば;kin;towel;-;-
429;斤;1;キン;;kin;"1.1/3 pounds, catty; axe";-;-
430;均;2;キン;ひと;kin;"to level, to average";-;-
431;近;4;キン、ちか-い;ゴン、コン;kin;"early, immediate; near, short (road), close by; akin to; nearby, bordering on, verge of, tantamount to; intimate, friendly";chika(i);"early, immediate; near, short (road), close by; akin to; nearby, bordering on, verge of, tantamount to; intimate, friendly"
432;金;5;キン、コン、かね、[かな];こがね;"kin, 	kon";"gold; money; Friday";"kane, [kana]";"money, metal"
433;菌;1;キン;;kin;"fungus, germ, bacteria";-;-
434;勤;3;キン、[ゴン]、つと-める、つと-まる;;"kin, [gon]";"be fit for, be equal to, function properly";"tsuto(meru), tsuto(maru)";"be fit for, be equal to, function properly; serve, fill a post, serve under; exert oneself, endeavor, work, be diligent; play (the part of)"
435;琴;1;キン、こと;ゴン;kin;harp;koto;"long horizontal Japanese harp, a koto; lyre"
436;筋;1;キン、すじ;;kin;"muscle, sinew, tendon";suji;"muscle; sinew, tendon; vein; fiber; string; line; stripe, streak; plot, plan; reason, logic; circumstances; thread, sequence; quarters, sources, authorities; lineage, strain, stock, descent; grain, texture"
437;僅;0;キン、わず-か;;kin;"a little, a small quantity";wazu(ka);"a little, a small quantity"
438;禁;2;キン;;kin;"prohibition, ban, embargo; law";-;-
439;緊;1;キン;し;kin;"hard, solid; reliable; tight";-;-
440;錦;1;キン、にしき;;kin;"brocade; fine dress; honors";nishiki;"brocade; fine dress; honors"
441;謹;1;キン、つつし-む;;kin;"be discreet, be careful, be prudent, be cautious; restrain oneself, be moderate";tsutsushi(mu);"be discreet, be careful, be prudent, be cautious; restrain oneself, be moderate"
442;襟;1;キン、えり;;kin;"neck, neckband, collar, lapel";eri;"neck, neckband, collar, lapel"
443;吟;1;ギン;;gin;"singing; recital; song; poem";-;-
444;銀;4;ギン;;gin;silver;-;-
445;区;3;ク;;ku;"ward, district, section";-;-
446;句;1;ク;;ku;"phrase, clause, sentence, passage, paragraph; expression; line, verse, stanza; 17-syllable poem";-;-
447;苦;3;ク、くる-しい、くる-しむ、くる-しめる、にが-い、にが-る;コ;ku;"suffering, trial, worry, trouble, hardship, difficulty, toil";"kuru(shii), kuru(shimu), kuru(shimeru), niga(i), niga(ru)";"suffer; groan; be troubled, be worried, be perplexed; strive, try hard; torment; harass, worry; persecute, inflict pain; feel bitter; scowl; painful; distressing, embarrassing, difficult, bitter; straitened; farfetched; still (climb); agony, trouble, distress; mortification"
448;駆;1;ク、か-ける、か-る;;ku;"run, gallop; advance";"ka(keru), ka(ru)";"run, gallop; advance; drive (a car); spur on, prompt, actuate, inspire, sway, impel"
449;具;3;グ;ク、つぶさ、そな、とも;gu;"tool; vessel; means; ingredients (in a dish); counter for armor, suits, sets of furniture";-;-
450;惧;0;グ;;gu;"fear, be overawed, be apprehensive";-;-
451;愚;1;グ、おろ-か;;gu;"folly, foolishness, absurdity; fool";oro(ka);"foolish, stupid, dull"
452;空;4;クウ、そら、あ-く、あ-ける、から;むな;kuu;"air, sky; emptiness; vanity, unreality; hollow; void";"sora, a(ku), a(keru), kara";"become empty, be less crowded; empty; sky, heavens, air, weather, memory, absent-mindedness"
453;偶;3;グウ;;guu;"even number; couple, man and wife; friend; same kind; doll";-;-
454;遇;1;グウ;あ;guu;"treat, entertain, receive, deal with";-;-
455;隅;2;グウ、すみ;;guu;corner;sumi;"corner, nook"
456;串;0;くし;;-;-;kushi;"spit, sekwer"
457;屈;1;クツ;かが;kutsu;"bend, bend over; give in, submit to, yield to; flinch";-;-
458;掘;2;クツ、ほ-る;;kutsu;"dig, delve; core; excavate; sink (wells); dig up; scoop out; pick (the ear); probe";ho(ru);"dig, delve; core; excavate; sink (wells); dig up; scoop out; pick (the ear); probe"
459;窟;0;クツ;;kutsu;cavern;-;-
460;熊;1;くま;ユウ;-;-;kuma;bear
461;繰;1;く-る;;-;-;ku(ru);"reel (thread); wind; gin (cotton); spin; turn (pages); look up (a word, etc.); refer to; count (the days); open (shutters)"
462;君;3;クン、きみ;;kun;"mister (familiar)";kimi;"you (familiar); ruler"
463;訓;2;クン;キン;kun;"Japanese reading (of a character); explanation of a character; lesson; regulation; rule";-;-
464;勲;1;クン;いさお;kun;"merit, order of merit";-;-
465;薫;1;クン、かお-る;;kun;"send forth fragrance, be scented, impregnate with";kao(ru);"smell, be fragrant"
466;軍;2;グン;いくさ;gun;"army, force, troops";-;-
467;郡;1;グン;こおり、ごおり;gun;"county, district";-;-
468;群;2;グン、む-れる、む-れ、[むら];;gun;"group, crowd, gang, herd, swarm, flock; common run";"mu(reru), mu(re), [mura]";"crowd, flock, swarm; group, herd, bevy, school; cluster (of stars); clump; swarming"
469;兄;4;ケイ、[キョウ]、あに;;"kei, [kyoo]";"brother; you; elder brother";ani;"elder brother"
470;刑;1;ケイ;ギョウ;kei;"penalty, sentence, punishment";-;-
471;形;3;ケイ、ギョウ、かた、かたち;;"kei, 	gyoo";shape;"kata, katachi";"shape, form, make, size, format, mark; pattern, design; personal appearance"
472;系;1;ケイ;;kei;"system; lineage; faction, group; zone; corollary; connection";-;-
473;径;1;ケイ;みち;kei;"path; diameter; method";-;-
474;茎;1;ケイ、くき;;kei;"stem, stalk";kuki;"stem, stalk"
475;係;3;ケイ、かか-る、かかり;;kei;"duty; person in charge";"kaka(ru), kakari";"duty; person in charge; is the work of"
476;型;2;ケイ、かた;;kei;"model, mold, matrix, impression; style, type, pattern, make; set form; usage";kata;"model, mold, matrix, impression; style, type, pattern, make; set form; usage"
477;契;1;ケイ、ちぎ-る;;kei;"pledge, vow, swear, promise";chigi(ru);"pledge, vow, swear, promise"
478;計;4;ケイ、はか-る、はか-らう;ケ、ゲ;kei;"plan, scheme, trick; total; meter, gauge ";"haka(ru), haka(rau)";"measure, gauge, weigh; fathom, sound; compute, estimate; manage, arrange, dispose of, see about, talk over"
479;恵;2;ケイ、エ、めぐ-む;;"kei, 	e";"blessing, grace, favor; kindness, mercy, benevolence, charity";megu(mu);"bless; show mercy to, render benevolence to"
480;啓;1;ケイ;;kei;"open, say";-;-
481;掲;1;ケイ、かか-げる;;kei;"put up, hang out, hoist, display; publish, insert; describe; mention";kaka(geru);"put up, hang out, hoist, display; publish, insert; describe; mention"
482;渓;1;ケイ;ケ、たに;kei;valley;-;-
483;経;3;ケイ、キョウ、へ-る;キン、たていと、たて、つね;"kei, 	kyoo";"longitude; sutra; warp";he(ru);"pass, elapse; pass through; experience"
484;蛍;1;ケイ、ほたる;;kei;firefly;hotaru;firefly
485;敬;2;ケイ、うやま-う;キョウ;kei;"respect, honor, revere";uyama(u);"respect, honor, revere, venerate"
486;景;3;ケイ;キョウ、かげ;kei;"view, scene";-;-
487;軽;3;ケイ、かる-い、かろ-やか;キン;kei;"light; trifling, unimportant; simple, easy; plain or light (meal); undignified";"karu(i), karo(yaka)";"light; trifling, unimportant; simple, easy; plain or light (meal); undignified"
488;傾;2;ケイ、かたむ-く、かたむ-ける;;kei;"lean, incline, tilt, list, tip, careen, lurch";"katamu(ku), katamu(keru)";"incline toward, tilt, slant, slope, lurch, heel over; be disposed to; trend toward, be prone to; go down (sun); wane, sink, decline; incline, list, bend, lean, tip, concentrate on; devote to; ruin; squander; empty"
489;携;1;ケイ、たずさ-える、たずさ-わる;;kei;"carry (in the hand); be armed with; carry along, bring (someone) along";"tazusa(eru), tazusa(waru)";"carry (in the hand); be armed with; carry along, bring (someone) along; participate in, be concerned in"
490;継;1;ケイ、つ-ぐ;ケ;kei;"succeed to, inherit; follow; patch; graft (trees); tell";tsu(gu);"succeed to, inherit; follow; patch; graft (trees); tell"
491;詣;0;ケイ、もう-でる;;kei;"visit a temple or shrine";mou(deru);"go; come; call, visit; visit a shrine"
492;慶;1;ケイ;よろこ;kei;congratulate;-;-
493;憬;0;ケイ;;kei;"long for";-;-
494;稽;0;ケイ;;kei;"think, consider; quarrel";-;-
495;憩;1;ケイ、いこ-い、いこ-う;;kei;"rest, relax, repose";"iko(i), iko(u)";"rest, relax, repose"
496;警;3;ケイ;キョウ;kei;"admonish, warn, prohibit";-;-
497;鶏;1;ケイ、にわとり;どり;kei;chicken;niwatori;chicken
498;芸;2;ゲイ;ゲ;gei;"art, craft; artistic accomplishment; performance, acting; trick, stunt, feat";-;-
499;迎;3;ゲイ、むか-える;;gei;"meet, greet, welcome; invite, engage";muka(eru);"meet, greet, welcome; invite, engage"
500;鯨;1;ゲイ、くじら;;gei;whale;kujira;whale
501;隙;0;ゲキ、すき;ひま;geki;"crevice, fissure, chink; discord; opportunity";suki;"time; leisure; gap, crack; room, space; chance; unpreparedness, unguarded moment"
502;劇;2;ゲキ;はげ;geki;"drama, play";-;-
503;撃;1;ゲキ、う-つ;;geki;"attack, defeat, destroy, conquer";u(tsu);"strike, hit, beat, knock, slap, punch, thrash, smite; clap (one’s hands); beat (a drum); ring (a bell); (clocks) strike; impress, touch; shoot; pound in (a nail); water, sprinkle; braid; play (checkers); till (the soil); temper (a sword); prepare (buckwheat noodles); present (a play); cast (a net); pay (earnest money)"
504;激;1;ゲキ、はげ-しい;;geki;"get excited, be agitated, be enraged, be exasperated, chafe; urge, encourage, incite";hage(shii);"violent, vehement, furious, severe, acute, intense, extreme, passionate, heated, stormy (applause); tempestuous (temperament); mighty"
505;桁;0;けた;コウ;-;-;keta;"beam, girder; spar, yard; unit or column(in figures)"
506;欠;3;ケツ、か-ける、か-く;あくび;ketsu;"lack, gap";"ka(keru), ka(ku)";"lack; break, crack, chip; neglect; fail in; omit; be broken (off), be chipped; lack, be missing; wane; be vacant (a position)"
507;穴;1;ケツ、あな;;ketsu;"hole, aperture, slit; gap, stop (of musical instrument); eyelet; cavity; socket; cave; den; hiding place; pit; fault, defect; deficit; grave; dark horse";ana;"hole, aperture, slit; gap, stop (of musical instrument); eyelet; cavity; socket; cave; den; hiding place; pit; fault, defect; deficit; grave; dark horse"
508;血;2;ケツ、ち;;ketsu;blood;chi;"blood, consanguinity"
509;決;3;ケツ、き-める、き-まる;;ketsu;"decision, vote";"ki(meru), ki(maru)";"fix, decide, agree upon; appoint, choose; resolve; be decided, be settled, be arranged; be certain to, be doomed to"
510;結;1;ケツ、むす-ぶ、ゆ-う、ゆ-わえる;ケチ;ketsu;"tie, bind; tie a knot; make (contracts, treaties, and friendships); join; finish, wind up; unite with; organize";"musu(bu), yu(u), yu(waeru)";"tie, bind; tie a knot; make (contracts, treaties, and friendships); join; finish, wind up; unite with; organize; do up (the hair); make (a braided fence); bind, fasten, tie up"
511;傑;1;ケツ;;ketsu;excellent;-;-
512;潔;1;ケツ、いさぎよ-い;きよ;ketsu;"pure, clean, righteous; manly, gallant, sportsmanlike";isagiyo(i);"pure, clean, righteous; manly, gallant, sportsmanlike"
513;月;5;ゲツ、ガツ、つき;;"getsu, 	gatsu";"moon; month; Monday; month (of the year)";tsuki;"moon; month"
514;犬;4;ケン、いぬ;;ken;dog;inu;"dog, spy"
515;件;3;ケン;;ken;"matter, case, item";-;-
516;見;5;ケン、み-る、み-える、み-せる;まみ、ら;ken;"hopes, chances; ideas, opinion";"mi(ru), mi(eru), mi(seru)";"see, look at, witness, observe; regard as; sightsee; look through; examine; consult (a lexicon); tell (one’s future); estimate; care for; try, test; be seen, be visible, be in sight; look like, seem, appear; come, show up; be found"
517;券;2;ケン;;ken;"ticket, coupon, bond, certificate";-;-
518;肩;2;ケン、かた;;ken;shoulder;kata;shoulder
519;建;4;ケン、[コン]、た-てる、た-つ;;"ken, [kon]";"build, raise";"ta(teru), ta(tsu)";"stand, rise; rouse oneself; be built, be established; go up (smoke); burn out; depart; take flight; run high (waves); stick into; be worked out; be maintained; save (face); establish oneself, begin life; spread (rumors); shut (door); be active; open (markets); be excited; come (seasons); makes (a total of thirty); stand something up, set up, raise; put up; set on edge; prick up (one’s ears); build, erect; close (a door); establish; institute, enact; lay (plans); map out; set forth, lay down (a proposition); formulate; render (services), perform; look up to, respect; be loyal to; do justice to; circulate (rumors); have (an aim); establish (oneself), make (a success); support (oneself), make (an oath); sharpen, set (a saw); put up (a candidate); make (tea); save (face)"
520;研;4;ケン、と-ぐ;みが;ken;"sharpen, grind, scour, hone, polish; wash (rice)";to(gu);"sharpen, grind, scour, hone, polish; wash (rice)"
521;県;3;ケン;あがた、か、が;ken;"prefecture; district (in China)";-;-
522;倹;1;ケン;;ken;economy;-;-
523;兼;1;ケン、か-ねる;;ken;"and, in addition, concurrently";ka(neru);"combine with, serve as both; hold an additional post; use with"
524;剣;1;ケン、つるぎ;;ken;"sword, saber, blade, bayonet; sting; clock hand";tsurugi;sword
525;拳;1;ケン、こぶし;;ken;fist;kobushi;fist
526;軒;2;ケン、のき;;ken;"house counter";noki;eaves
527;健;2;ケン、すこ-やか;たけ;ken;"health, strength; stick-to-itiveness";suko(yaka);"vigorous, healthy, sound"
528;険;3;ケン、けわ-しい;;ken;"inaccessible place, impregnable pass, strategic position; steep place; sharp (eyes); sinister (look)";kewa(shii);"steep; severe, angry"
529;圏;1;ケン;;ken;"sphere, circle, range, radius";-;-
530;堅;1;ケン、かた-い;;ken;"hard, solid; tough, rigid; tight; steady, firm; strict; safe, reliable, upright; chaste, constant; stiff; bookish; classical; stubborn";kata(i);"hard, solid; tough, rigid; tight; steady, firm; strict; safe, reliable, upright; chaste, constant; stiff; bookish; classical; stubborn"
531;検;1;ケン;;ken;investigation;-;-
532;嫌;1;ケン、[ゲン]、きら-う、いや;;"ken, [gen]";"dislike, hate; be unwilling (to do something), ";"kira(u), iya";"hate, detest, dislike; disagreeable"
533;献;1;ケン、[コン];;"ken, [kon]";"counter for drinks";-;-
534;絹;1;ケン、きぬ;;ken;"silk, silk thread";kinu;"silk, silk thread"
535;遣;1;ケン、つか-う、つか-わす;や;ken;"send, dispatch; give, donate, bestow on; do for (someone)";"tsuka(u), tsuka(wasu)";"send, dispatch; give, donate, bestow on; do for (someone); use; handle, manipulate; employ; need, want; spend, consume; speak (English); practice (fencing); take (one’s lunch); circulate (bad money)"
536;権;3;ケン、[ゴン];;"ken, [gon]";"authority, power, rights, concession";-;-
537;憲;1;ケン;のり;ken;law;-;-
538;賢;2;ケン、かしこ-い;;ken;"wisdom, cleverness";kashiko(i);"wise, intelligent"
539;謙;1;ケン;へりくだ;ken;"humble oneself, condescend, be modest";-;-
540;鍵;0;ケン、かぎ;;ken;(piano)key;kagi;key
541;繭;1;ケン、まゆ;;ken;cocoon;mayu;cocoon
542;顕;1;ケン;あらわ、あき;ken;"appear, emerge, come in sight, show up; be revealed, be discovered; be mentioned; become famous";-;-
543;験;4;ケン、[ゲン];しるし;"ken, [gen]";"effect; testing. beneficial effect (of austerities)";-;-
544;懸;1;ケン、[ケ]、か-ける、か-かる;;"ken, [ke]";"hang; set up (a ladder); cover; construct, install; sit down; sprinkle, pour on; put on; ring up; weigh; multiply; levy; pay (in installments); anchor; start (a machine); wind; turn on (radio); spend on; offer (prizes); put (under treatment); set (on fire)";"ka(keru), ka(karu)";"hang; set up (a ladder); cover; construct, install; sit down; sprinkle, pour on; put on; ring up; weigh; multiply; levy; pay (in installments); anchor; start (a machine); wind; turn on (radio); spend on; offer (prizes); put (under treatment); set (on fire). hang on, be suspended from, be caught, be trapped; be built; begin; arrive at; require, cost; play against, oppose; be splashed; weigh (a pound); be levied; (the instrument or tool) works; attack, fall on; is now showing at; consult; depend (on a son)"
545;元;4;ゲン、ガン、もと;はじ;"gen, 	gan";"yuan; origin; New Year’s Day; first year of an era. Gen Mongol (dynasty)";moto;"beginning, origin; foundation, basis, source; cause; root (of a tree); (raw) material, base; capital; principal; cost; forebears; formerly"
546;幻;1;ゲン、まぼろし;;gen;"vision, dream; illusion, apparition";maboroshi;"vision, dream; illusion, apparition"
547;玄;1;ゲン;くろ;gen;"occultness, mystery, black";-;-
548;言;4;ゲン、ゴン、い-う、こと;;"gen, 	gon";"word; phrase; speech; statement";"i(u), koto";"say, tell, talk, speak, declare; call, term, name.word"
549;弦;1;ゲン、つる;;gen;"bowstring; chord (in geometry); hypotenuse; crescent (moon); bowstring; string (of an instrument)";tsuru;"bowstring; teakettle handle made of bamboo or vines"
550;限;3;ゲン、かぎ-る;;gen;"limit, restrict, confine";kagi(ru);"limit, restrict, confine"
551;原;3;ゲン、はら;;gen;"original, primitive";hara;"field, plain, prairie, tundra, moor, wilderness"
552;現;3;ゲン、あらわ-れる、あらわ-す;うつつ;gen;"present, exciting, actual";"arawa(reru), arawa(su)";"appear, emerge, come in sight, show up; be revealed, be discovered; be mentioned; become famous. show, indicate, display, prove, disclose, express; represent; distinguish oneself"
553;舷;0;ゲン;ふなばた;gen;gunwale;-;-
554;減;2;ゲン、へ-る、へ-らす;;gen;"decrease, decline";"he(ru), he(rasu)";"decrease, dwindle, subside; wear and tear; get hungry. reduce, decrease, shorten, curtail; be hungry"
555;源;1;ゲン、みなもと;;gen;"source, origin";minamoto;"source, origin"
556;厳;1;ゲン、[ゴン]、おごそ-か、きび-しい;;"gen, [gon]";"strictness, severity";"ogoso(ka), kibi(shii)";"austere, majestic, severe, strict"
557;己;1;コ、キ、おのれ;;"ko, 	ki";sixth;onore;"oneself, myself, yourself"
558;戸;2;コ、と;;ko;"house; door; family; counter for houses";to;door
559;古;4;コ、ふる-い、ふる-す;いにしえ;ko;old;"furu(i), furu(su)";"old, aged, ancient, antiquated; stale, threadbare; outmoded, obsolete article  "
560;呼;3;コ、よ-ぶ;;ko;"call, call out to; invoke; summon; invite; attract; send for; name, designate; bring about";yo(bu);"call, call out to; invoke; summon; invite; attract; send for; name, designate; bring about"
561;固;2;コ、かた-める、かた-まる、かた-い;;ko;"harden, stiffen, solidify, set, settle, congeal, clot, curdle, conglomerate; get together; be devoted to; settle down (weather) ";"kata(meru), kata(maru), kata(i)";"harden; tighten; freeze; curdle; strengthen; stabilize; defend, fortify; collect, amass; settle down, locate. stiffen, solidify, set, settle, congeal, clot, conglomerate; get together; be devoted to; hard, solid; tough, rigid; tight; steady, firm; strict; safe, reliable, upright; chaste, sonstant; stiff; bookish; classical; stubborn"
