id;kanji;jlpt;joyo_reading;reading;on;kun;on_trans;kun_trans
1835;抱;3;ホウ、だ-く、いだ-く、かか-える;;hoo;"hug, embrace, hold in the arms; sit (on eggs) ";"da(ku), ida(ku), kaka(eru)";"hug, embrace, hold in the arms; sit (on eggs). entertain (hope); cherish (a desire); harbor (malice); hold, have. hold or carry under or in the arms "
1836;放;3;ホウ、はな-す、はな-つ、はな-れる、ほう-る;いた;hoo;"set free, release, fire, shoot; circulate (rumors); emit, give out; set fire to; banish ";"hana(su), hana(tsu), hana(reru), hoo(ru)";"set free, release, fire, shoot; circulate (rumors); emit, give out; set fire to; banish. let go, disengage; liberate. free oneself from. throw, hurl, toss; give up; neglect; let alone "
1837;法;3;ホウ、[ハッ]、[ホッ];のっと、のり;"hoo, [haQ], [hoQ]";"law, rule, principle; legislation, regulation; code; method, way, model, manner, system, process, art, technique; rites, religion, doctrine; reason; mood (of verbs) ";-;-
1838;泡;1;ホウ、あわ;;hoo;"bubble, foam, froth, scum, suds ";awa;"bubble, foam, froth, scum, suds "
1839;胞;1;ホウ;;hoo;"theca, sac, sheath, case; placenta";-;-
1840;俸;1;ホウ;;hoo;salary;-;-
1841;倣;1;ホウ、なら-う;;hoo;"imitate, follow, emulate";nara(u);"imitate, follow, emulate"
1842;峰;1;ホウ、みね;ブ、プ;hoo;"peak, summit, top; back (of a sword)";mine;"peak, summit, top; back (of a sword)"
1843;砲;1;ホウ;;hoo;"gun, cannon, battery; gunnery, ordnance, artillery ";-;-
1844;崩;1;ホウ、くず-れる、くず-す;;hoo;die;"kuzu(reru), kuzu(su)";"demolish, destroy level (a hill); crumble (bread); change (money); simplify; put in disorder; cut (prices). crumble, collapse, cave in, be destroyed, get out of shape; be routed; worsen (weather) "
1845;訪;3;ホウ、おとず-れる、たず-ねる;と;hoo;"visit, call on";"otozu(reru), tazu(neru)";"visit, call on. look up"
1846;報;3;ホウ、むく-いる;し;hoo;"news, report; reward, retribution ";muku(iru);"reward, compensate; repay; revenge "
1847;蜂;0;ホウ、はち;;hoo;"bee, wasp, hornet";hachi;"bee, wasp, hornet"
1848;豊;2;ホウ、ゆた-か;ブ;hoo;"abundant, rich, fruitful";yuta(ka);"abundant, rich, fruitful"
1849;飽;1;ホウ、あ-きる、あ-かす;;hoo;"get tired of, lose interest in, have enough ";"a(kiru), a(kasu)";"get tired of, lose interest in, have enough. satiate, surfeit; bore, tire, weary "
1850;褒;1;ホウ、ほ-める;;hoo;"praise, extol";ho(meru);"praise, commend"
1851;縫;1;ホウ、ぬ-う;;hoo;"sew, stich, embroider";nu(u);"sew, stich, embroider"
1852;亡;3;ボウ、[モウ]、な-い;ほろ;"boo, [moo]";"my late, the late; dying; being destroyed ";na(-i);"the late, the deceased"
1853;乏;1;ボウ、とぼ-しい;;boo;"meager, scarce, limited; destitute, hard up ";tobo(shii);"meager, scarce, limited; destitute, hard up "
1854;忙;3;ボウ、いそが-しい;;boo;"busy, occupied";isoga(shii);"busy, occupied"
1855;坊;0;ボウ、[ボッ];;"boo, [boQ]";"priest's residence; (Buddhist) priest; boy";-;-
1856;妨;1;ボウ、さまた-げる;;boo;"disturb, prevent, hamper, hinder, obstruct";samata(geru);"disturb, prevent, hamper, hinder, obstruct"
1857;忘;3;ボウ、わす-れる;;boo;"forget; be forgetful of; forget about; forget (an article)";wasu(reru);"forget; be forgetful of; forget about; forget (an article)"
1858;防;2;ボウ、ふせ-ぐ;ホウ;boo;"defend, protect; resist; keep away, shut out, ward off; prevent";fuse(gu);"defend, protect; resist; keep away, shut out, ward off; prevent"
1859;房;1;ボウ、ふさ;ホウ;boo;"house, room; tassel";fusa;"tuft, tassel, fringe; lock (of hair); cluster, bunch, segment (of an orange)"
1860;肪;1;ボウ;;boo;fat;-;-
1861;某;1;ボウ;;boo;"one, a certain; that person; that thing  ";-;-
1862;冒;1;ボウ、おか-す;;boo;"risk, face, defy, dare; (diseases) attack; damage; desecrate; assume (a name) ";oka(su);"risk, face, defy, dare; (diseases) attack; damage; desecrate; assume (a name) "
1863;剖;1;ボウ;;boo;divide;-;-
1864;紡;1;ボウ、つむ-ぐ;;boo;"spin, make yarn";tsumu(gu);"spin, make yarn"
1865;望;3;ボウ、モウ、のぞ-む;もち;"boo, 	moo";"full moon; hope";nozo(mu);"desire; aspire to; expect, hope for; like, choose; see, command (a view of)"
1866;傍;1;ボウ、かたわ-ら;ホウ;boo;"side; besides; while";katawa(ra);"side; besides; while"
1867;帽;2;ボウ;;boo;"cap, headgear";-;-
1868;棒;2;ボウ;;boo;"stick, cane, rod, pole, stake, pile, club, bar; line, dash";-;-
1869;貿;2;ボウ;;boo;exchange;-;-
1870;貌;0;ボウ;かたち;boo;"form, appearance; countenance";-;-
